run_id,seed,acq,iteration,global_index,x1,x2,x3,y
0,0,TEI,0,0,1.2803258255202747,-0.5557465018264539,0.6155618855189842,1.4298285623381422
0,0,TEI,0,1,-1.038236226029887,1.3464458372009536,13.691420903588549,2.5156292474185618
0,0,TEI,0,2,1.166997894041951,1.0532379634439946,8.154831246989877,3.911910942489584
0,0,TEI,0,3,2.39436564769489,1.3554874394253624,0.04207476405205128,2.1154370892183443
0,0,TEI,0,4,2.104119781607747,-1.3824504864308746,10.94510204100273,1.1169347515592012
0,0,TEI,0,5,-0.4435749458082371,1.521126228224603,8.122376842516127,2.317676406183738
0,0,TEI,0,6,0.02002333493820685,-0.020594725808195324,0.425766747510799,0.13443507222537385
0,0,TEI,0,7,-0.6355533957211297,0.847185451427706,9.708195484102177,1.9930562497833715
0,0,TEI,0,8,1.1996941616054455,-0.15712856008340803,14.958151826902377,2.397072649740676
0,0,TEI,0,9,2.565381661006772,0.8993969456824313,9.757238684740976,2.6314662209934747
0,0,TEI,1,10,1.577435886795107,1.0663140335216394,8.683024326441613,4.107466065820677
0,0,TEI,1,11,-0.7782753789089405,1.0703740870270444,8.639982472643824,2.2802761268403184
0,0,TEI,1,12,0.46191573297483846,1.0479704187940229,1.730777267325057,3.204238469065495
0,0,TEI,2,13,1.6785295609229074,0.6242539549399004,1.207624728178109,3.4610817622078334
0,0,TEI,2,14,1.6781265492889759,0.6393959584322682,11.220529218094075,3.5533944168388194
0,0,TEI,2,15,0.6372417636388019,1.3013122976874985,6.1474533577507104,3.528811776997679
0,0,TEI,3,16,1.5041144806862343,1.2218166904073877,14.991466208012755,4.110044214367753
0,0,TEI,3,17,1.492005983949936,1.1869432092549195,7.488163401516627,4.201576342712849
0,0,TEI,3,18,1.5167031433197953,1.3375654384538698,0.04602454760253404,2.9357983505733625
0,0,TEI,4,19,1.45530827505221,1.150594075636025,13.665006752964382,4.072117801891828
0,0,TEI,4,20,1.4560622986499405,1.1450801984222023,4.945026189024883,4.239564300551363
0,0,TEI,4,21,0.07867293277647991,1.2158089705188666,9.275545669461106,2.761668083281676
0,0,TEI,5,22,1.7180251561341762,1.1324477278318321,0.177178270861093,2.8660789362817156
0,0,TEI,5,23,1.7597998472036616,1.1408733267023257,7.860853538233886,4.15965810803314
0,0,TEI,5,24,1.1378923982259224,1.1962033290167544,14.946102857722867,3.8923135539443607
0,0,TEI,6,25,1.535712119494678,1.1341271843308154,9.964243571825943,4.130793900603825
0,0,TEI,6,26,1.5246073988078859,1.1122455392623989,1.0360556884202292,3.888513314983565
0,0,TEI,6,27,0.4071023729707255,0.9036477670981311,14.995060775975752,2.8106204954016434
0,0,TEI,7,28,1.2932500707767498,1.9873187015095302,2.883636917984184,2.9148161110030166
0,0,TEI,7,29,1.5036035380803652,0.9942544225740284,2.825565171385884,4.189389367164921
0,0,TEI,7,30,1.494759695230445,1.9639633757311143,14.565750854672626,2.8736945123141697
0,0,TEI,8,31,1.1290234108684283,0.9542719880915129,0.5090057105559767,2.754278501537181
0,0,TEI,8,32,1.8075974766261291,1.2415354022734904,11.011673848418313,4.1342437263369956
0,0,TEI,8,33,0.7923607164769226,1.6387400522586555,6.316939482218554,3.4578180822994344
0,0,TEI,9,34,1.686547061307642,1.0592663196585494,5.834716277306412,4.168180539305185
0,0,TEI,9,35,1.7779701614769263,1.0293977097889524,14.675391268255101,3.964435169520735
0,0,TEI,9,36,1.44641394392605,1.8998846541772498,10.173951911613798,3.1873211744082663
0,0,TEI,10,37,1.4923638889708783,1.0954380599608453,5.192962339661816,4.206775177516465
0,0,TEI,10,38,1.5293164673695165,1.2662746027806207,13.408876407604891,4.145304456224265
0,0,TEI,10,39,2.0104319237266233,0.42555029731110583,10.182300047465832,3.08660858800486
0,0,TEI,11,40,1.4610868228805152,1.257628982266049,2.424489242258198,4.352751997537455
0,0,TEI,11,41,1.4626909562686414,1.0592588091605166,12.365050287019743,4.02037913770898
0,0,TEI,11,42,1.5303407052280908,0.394450655147359,6.433816495881117,3.3083967397622467
0,0,TEI,12,43,1.6530378617218533,1.3837528888757191,6.203724969151343,4.280250364171037
0,0,TEI,12,44,1.7108457493735445,1.266922206795472,13.873356235800268,4.139248782395905
0,0,TEI,12,45,2.1421154312067667,0.693192854045316,1.7539183174550819,3.4132907237921453
0,0,TEI,13,46,1.2695292131431817,1.208452222938654,2.305128745544951,4.23543890246339
0,0,TEI,13,47,1.6993717036249025,1.2715279130838995,11.982662939145078,4.164170405409901
0,0,TEI,13,48,2.1563082939643112,1.7112837736989777,5.8301069295386,3.523721816097163
0,0,TEI,14,49,1.6148248896350377,1.2752820271461953,2.2457776132464944,4.375916532749025
0,0,TEI,14,50,1.6425040731169567,1.2734315897744892,11.850947413065118,4.173163545570232
0,0,TEI,14,51,-0.906794736706096,1.5695501155327847,1.6873807191912698,2.4004875350043586
0,0,TEI,15,52,1.5750681561833386,1.1964936573255258,2.129608535750923,4.3390473172479105
0,0,TEI,15,53,1.678302840821929,1.2608073125477879,11.759292820818386,4.167957993481318
0,0,TEI,15,54,1.5267642920951605,0.5066850442595006,7.5550415972954905,3.431449095787986
0,0,TEI,16,55,1.5205267568731933,1.270050866588591,2.2154322555865367,4.362773313098679
0,0,TEI,16,56,1.6593209745983377,1.2589801005289036,12.466851839376101,4.16083014174356
0,0,TEI,16,57,1.5097252651865452,0.60114411446673,7.168189882797079,3.567756851115397
0,0,TEI,17,58,1.5799661148659223,1.2587953410152903,2.2846997254787427,4.372471934354454
0,0,TEI,17,59,1.6482008978775387,1.240394539611744,11.412187215840847,4.169685587904625
0,0,TEI,17,60,0.519420901640534,0.9101919967919812,4.404577410895229,3.1606407063839717
0,0,TEI,18,61,1.5083218618982537,1.2280980821494691,2.3012181411956094,4.351983098465494
0,0,TEI,18,62,1.6207959081368846,1.2490252908286164,11.566069469737078,4.1713549352801
0,0,TEI,18,63,-1.00810242347887,-1.45410749292905,14.577052224203536,-0.47127005609359873
0,0,TEI,19,64,1.5456967693901862,1.2553322857146654,2.307591812140713,4.3684649829216085
0,0,TEI,19,65,1.646699090213314,1.2721481418875498,11.478403221873334,4.177564294920482
0,0,TEI,19,66,-1.068241899372792,-1.490053591894301,6.28955944350535,-0.36404418190708543
0,0,TEI,20,67,1.570090938366346,1.2547549058532068,2.268850139341328,4.369664932811778
0,0,TEI,20,68,1.6329556173944937,1.251764071646888,11.190943469475641,4.17705986861463
0,0,TEI,20,69,2.604042373481507,-1.4510553692734325,4.8049632717194,-0.011749549531151704
0,0,TEI,21,70,1.537107458918281,1.2258747605312155,2.2393327039673507,4.353904511636193
0,0,TEI,21,71,1.5957264260137567,1.2386285297689397,11.41679282309408,4.169504893173393
0,0,TEI,21,72,0.5211177912460838,1.2715178574090742,7.143877364333981,3.3529898353930285
0,0,TEI,22,73,1.5070424488596275,1.2273745630088593,2.414114573441573,4.3555848631715115
0,0,TEI,22,74,1.6078766868583867,1.2522347866016088,11.388277446054499,4.174598566871508
0,0,TEI,22,75,0.509609625922884,1.2260725479832866,7.243067336412488,3.3224893301094243
0,0,TEI,23,76,1.525794693947356,1.2317685684991742,2.4354319750711846,4.361877194689369
0,0,TEI,23,77,1.607867936606599,1.2699750279963555,10.999689197623553,4.184575682241245
0,0,TEI,23,78,0.5234434604965388,1.3588348449501972,6.978823627094549,3.3633662987475637
0,0,TEI,24,79,1.529320939378171,1.2776953072876962,2.293523674640115,4.370236547716762
0,0,TEI,24,80,1.6083285711046602,1.2637271904381113,11.45542695614002,4.176764403321412
0,0,TEI,24,81,0.546557710809207,1.2865259419094124,7.003189837765924,3.3911056776122486
0,0,TEI,25,82,1.5693011696675434,1.2202268235415539,2.3740209213201844,4.362211500935626
