run_id,seed,acq,iteration,best_value,best_x1,best_x2,best_x3
0,0,TEI,0,3.911910942489584,1.166997894041951,1.0532379634439946,8.154831246989877
0,0,TEI,1,4.107466065820677,1.577435886795107,1.0663140335216394,8.683024326441613
0,0,TEI,2,4.107466065820677,1.577435886795107,1.0663140335216394,8.683024326441613
0,0,TEI,3,4.201576342712849,1.492005983949936,1.1869432092549195,7.488163401516627
0,0,TEI,4,4.239564300551363,1.4560622986499405,1.1450801984222023,4.945026189024883
0,0,TEI,5,4.239564300551363,1.4560622986499405,1.1450801984222023,4.945026189024883
0,0,TEI,6,4.239564300551363,1.4560622986499405,1.1450801984222023,4.945026189024883
0,0,TEI,7,4.239564300551363,1.4560622986499405,1.1450801984222023,4.945026189024883
0,0,TEI,8,4.239564300551363,1.4560622986499405,1.1450801984222023,4.945026189024883
0,0,TEI,9,4.239564300551363,1.4560622986499405,1.1450801984222023,4.945026189024883
0,0,TEI,10,4.239564300551363,1.4560622986499405,1.1450801984222023,4.945026189024883
0,0,TEI,11,4.352751997537455,1.4610868228805152,1.257628982266049,2.424489242258198
0,0,TEI,12,4.352751997537455,1.4610868228805152,1.257628982266049,2.424489242258198
0,0,TEI,13,4.352751997537455,1.4610868228805152,1.257628982266049,2.424489242258198
0,0,TEI,14,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
0,0,TEI,15,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
0,0,TEI,16,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
0,0,TEI,17,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
0,0,TEI,18,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
0,0,TEI,19,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
0,0,TEI,20,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
0,0,TEI,21,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
0,0,TEI,22,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
0,0,TEI,23,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
0,0,TEI,24,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
0,0,TEI,25,4.375916532749025,1.6148248896350377,1.2752820271461953,2.2457776132464944
1,1,TEI,0,3.104339427457295,0.8126774115048594,1.8266229371407734,2.163250031181786
1,1,TEI,1,3.7906295680478936,0.7862657828950466,1.2840864123686342,2.1612987038284133
1,1,TEI,2,3.8488116230431886,1.2463324682377181,0.91156973942832,7.149226750454886
1,1,TEI,3,3.8488116230431886,1.2463324682377181,0.91156973942832,7.149226750454886
1,1,TEI,4,4.141023581406615,1.2888870760799178,1.268692602126694,7.447815497396314
1,1,TEI,5,4.141023581406615,1.2888870760799178,1.268692602126694,7.447815497396314
1,1,TEI,6,4.198775889972303,1.2900350731237453,1.3020093053538728,5.571784001628721
1,1,TEI,7,4.295945727053487,1.4956303262620172,1.471200968016908,3.9818701137192964
1,1,TEI,8,4.295945727053487,1.4956303262620172,1.471200968016908,3.9818701137192964
1,1,TEI,9,4.295945727053487,1.4956303262620172,1.471200968016908,3.9818701137192964
1,1,TEI,10,4.329639225628404,1.4471904502513726,1.3717875483046176,3.8826510839788897
1,1,TEI,11,4.329639225628404,1.4471904502513726,1.3717875483046176,3.8826510839788897
1,1,TEI,12,4.341148088087055,1.4562837727066764,1.3360288018901088,3.76830308293281
1,1,TEI,13,4.342695105694589,1.4534063240170259,1.344850193352463,3.6715736763283333
1,1,TEI,14,4.342695105694589,1.4534063240170259,1.344850193352463,3.6715736763283333
1,1,TEI,15,4.342695105694589,1.4534063240170259,1.344850193352463,3.6715736763283333
1,1,TEI,16,4.342695105694589,1.4534063240170259,1.344850193352463,3.6715736763283333
